date,費半_開盤價,費半_最高價,費半_最低價,費半_收盤價,費半_SMA5,費半_SMA10
'2013/05/23 00:00,456.35,462.39,454.81,461.75,466.43,465.15
'2013/05/24 00:00,460.03,461.51,457.13,461.5,464.604,465.1181818
'2013/05/28 00:00,465.8,469.35,464.71,465.94,463.968,465.1181818
'2013/05/29 00:00,463.39,468.99,462.98,467.29,463.62,465.6645455
'2013/05/30 00:00,469.08,476.5,468.98,474.43,466.182,466.6736364
'2013/05/31 00:00,471.74,475.62,468.56,468.63,467.558,466.7472727
'2013/06/03 00:00,470.64,474.12,465.01,470.72,469.402,467.3327273
'2013/06/04 00:00,473.11,477.58,470.54,472.45,470.704,467.4981818
'2013/06/05 00:00,470.56,471.73,464.75,465.29,470.304,467.15
'2013/06/06 00:00,466.17,468.5,460,464.66,468.35,466.7527273
'2013/06/07 00:00,467.53,471.47,464.1,471.47,468.918,467.6481818
'2013/06/10 00:00,471.86,474.87,470.35,473.97,469.568,468.7590909
'2013/06/11 00:00,468.18,470.67,463.31,463.43,467.764,468.9345455
'2013/06/12 00:00,468.19,468.81,457.62,458.33,466.372,468.2427273
'2013/06/13 00:00,458.83,468.08,456.51,467.38,466.916,468.2509091
'2013/06/14 00:00,467.62,469.63,464.65,465.53,465.728,467.4418182
'2013/06/17 00:00,470.6,475.33,469.82,472.34,465.402,467.7790909
'2013/06/18 00:00,473.19,480.52,473.13,480.06,468.728,468.6281818
'2013/06/19 00:00,479.76,482.06,474.35,474.51,471.964,468.8154545
'2013/06/20 00:00,468.2,468.26,458.22,459.72,470.432,468.3090909
'2013/06/21 00:00,462.14,464.33,455.79,460.85,469.496,467.9627273
'2013/06/24 00:00,458.05,458.07,448.23,451.55,465.338,466.1518182
'2013/06/25 00:00,456.8,463.62,455.37,462.51,461.828,465.11
'2013/06/26 00:00,466.81,467.2,462.2,464.93,459.912,465.2463636
'2013/06/27 00:00,467.88,470.85,466.66,466.74,461.316,466.0109091
'2013/06/28 00:00,464.14,471.13,463.03,468.43,462.832,466.1063636
'2013/07/01 00:00,470.02,472.76,467.29,467.73,466.068,466.3063636
'2013/07/02 00:00,466.88,472.88,465.26,468.18,467.202,465.9281818
'2013/07/03 00:00,465.75,471.71,465.12,469.8,468.176,464.9954545
'2013/07/05 00:00,472.28,476.32,470.54,476.12,470.052,465.1418182
'2013/07/08 00:00,477.47,477.75,464.84,466.5,469.666,465.7581818
'2013/07/09 00:00,470.6,472.58,469.3,471.41,470.402,466.7181818
'2013/07/10 00:00,470.33,477.61,470.14,476.7,472.106,469.0045455
'2013/07/11 00:00,481.06,486.85,481.06,486.56,475.458,471.1909091
'2013/07/12 00:00,487.94,490.12,486.73,489.61,478.156,473.4345455
'2013/07/15 00:00,489.8,490.5,488.33,489.33,482.722,475.4881818
'2013/07/16 00:00,490.3,493.23,488.99,491.06,486.652,477.5454545
'2013/07/17 00:00,491.34,493.2,489.92,491.58,489.628,479.7136364
'2013/07/18 00:00,492.1,492.1,485.74,487.22,489.76,481.4445455
'2013/07/19 00:00,484.42,485.6,482.26,486.17,489.072,482.9327273
'2013/07/22 00:00,487.01,487.01,483.1,485.15,488.236,483.7536364
'2013/07/23 00:00,486.74,490.12,482.79,483.52,486.728,485.3009091
'2013/07/24 00:00,483.24,483.66,473.95,474.69,483.35,485.5990909
'2013/07/25 00:00,473.43,477.43,471.9,477.4,481.386,485.6627273
'2013/07/26 00:00,472.95,473.16,470.47,473.12,478.776,484.4409091
'2013/07/29 00:00,471.76,473.63,469.13,469.97,475.74,482.6554545
